45_d500_152_0_badger_2008-09-01,45_d500_152_1_badger_2018-06-01,45_d500_152_2_badger_2014-08-01,45_d500_152_3_badger_2010-06-01,45_d500_152_4_badger_2011-04-01,45_d500_152_5_badger_2010-12-01,45_d500_152_6_badger_2013-08-01,45_d500_156_0_badger_2011-09-01,45_d500_156_1_badger_2009-01-01,45_d500_156_2_badger_2008-06-01,45_d500_156_3_badger_2010-10-01,45_d500_156_4_badger_2011-12-01,45_d500_169_0_badger_2016-06-01,45_d500_170_0_badger_2018-08-01,45_d500_170_1_badger_2018-08-01,45_d500_170_2_badger_2010-11-01,45_d500_170_3_badger_2013-11-01,45_d500_171_0_badger_2012-01-01,45_d500_178_0_badger_2020-02-01,45_d500_179_0_badger_2012-03-01,53_d500_6_0_badger_2015-05-01,56_d500_37_0_badger_2020-02-01,56_d500_37_1_badger_2020-02-01,56_d500_37_2_badger_2020-02-01,56_d500_39_1965_0_badger_2013-12-01,56_d500_39_1965_1_badger_2020-02-01,56_d500_39_1965_2_badger_2015-02-01,56_d500_39_1965_3_badger_2019-09-01,56_d500_39_1965_4_badger_2016-07-01,56_d500_39_1965_5_badger_2017-06-01,56_d500_39_1965_6_badger_2020-02-01,64032013_0_cattle_2020-02-01,64032_5_boar_2020-02-01,64033001_0_cattle_2016-12-01,64033006_0_cattle_2015-02-01,64033006_1_cattle_2015-02-01,64149019_0_cattle_2014-03-01,64149019_1_cattle_2014-03-01,64149030_0_cattle_2018-02-01,64149030_1_cattle_2018-02-01,64149030_2_cattle_2018-02-01,64201002_0_cattle_2018-02-01,64201007_0_cattle_2016-03-01,64201007_1_cattle_2016-03-01,64201007_2_cattle_2016-07-01,64201007_5_cattle_2019-07-01,64201008_0_cattle_2011-01-01,64201008_10_cattle_2018-03-01,64201008_11_cattle_2018-01-01,64201008_12_cattle_2018-01-01,64201008_13_cattle_2018-03-01,64201008_14_cattle_2018-03-01,64201008_15_cattle_2018-03-01,64201008_16_cattle_2018-03-01,64201008_1_cattle_2011-01-01,64201008_2_cattle_2011-01-01,64201008_3_cattle_2010-12-01,64201008_4_cattle_2011-01-01,64201008_5_cattle_2010-12-01,64201008_6_cattle_2011-01-01,64201008_7_cattle_2011-01-01,64201008_8_cattle_2011-01-01,64201008_9_cattle_2018-01-01,64201014_0_cattle_2010-01-01,64201014_1_cattle_2010-01-01,64201014_2_cattle_2009-12-01,64201014_3_cattle_2010-01-01,64201021_0_cattle_2010-02-01,64201021_10_cattle_2013-05-01,64201021_11_cattle_2013-05-01,64201021_12_cattle_2014-12-01,64201021_13_cattle_2014-12-01,64201021_14_cattle_2019-12-01,64201021_15_cattle_2019-12-01,64201021_16_cattle_2020-02-01,64201021_1_cattle_2010-02-01,64201021_2_cattle_2010-04-01,64201021_3_cattle_2013-05-01,64201021_4_cattle_2013-05-01,64201021_5_cattle_2013-05-01,64201021_6_cattle_2013-05-01,64201021_7_cattle_2013-05-01,64201021_8_cattle_2013-05-01,64201021_9_cattle_2013-07-01,64281001_0_cattle_2010-08-01,64281001_10_cattle_2017-02-01,64281001_11_cattle_2017-04-01,64281001_12_cattle_2017-02-01,64281001_13_cattle_2017-04-01,64281001_14_cattle_2017-02-01,64281001_15_cattle_2017-04-01,64281001_16_cattle_2017-02-01,64281001_17_cattle_2017-04-01,64281001_1_cattle_2010-07-01,64281001_2_cattle_2013-02-01,64281001_3_cattle_2013-02-01,64281001_4_cattle_2013-04-01,64281001_5_cattle_2013-04-01,64281001_6_cattle_2016-09-01,64281001_7_cattle_2017-04-01,64281001_8_cattle_2017-02-01,64281001_9_cattle_2017-02-01,64281003_0_cattle_2011-07-01,64281003_10_cattle_2016-03-01,64281003_11_cattle_2016-02-01,64281003_12_cattle_2016-03-01,64281003_13_cattle_2019-03-01,64281003_14_cattle_2019-03-01,64281003_1_cattle_2011-06-01,64281003_2_cattle_2011-05-01,64281003_3_cattle_2011-07-01,64281003_4_cattle_2011-07-01,64281003_5_cattle_2011-07-01,64281003_6_cattle_2013-07-01,64281003_7_cattle_2013-07-01,64281003_8_cattle_2013-08-01,64281003_9_cattle_2016-03-01,64281008_0_cattle_2011-06-01,64281008_1_cattle_2011-06-01,64281008_2_cattle_2011-07-01,64281008_5_cattle_2016-12-01,64281008_6_cattle_2016-12-01,64281_0_boar_2011-11-01,64281_1_boar_2013-03-01,64281_2_boar_2013-03-01,64281_3_boar_2019-03-01,64281_4_boar_2015-02-01,64281_5_boar_2014-11-01,64281_6_boar_2017-10-01,64281_7_boar_2018-03-01,64281_8_boar_2016-09-01,64281_9_boar_2018-01-01,64326020_10_cattle_2010-03-01,64326020_27_cattle_2014-01-01,64326020_5_cattle_2010-03-01,64326020_6_cattle_2010-02-01,64412014_0_cattle_2020-02-01,64412014_1_cattle_2019-06-01,64412014_2_cattle_2020-02-01,64412014_3_cattle_2020-02-01,64412014_4_cattle_2020-02-01,64412014_5_cattle_2020-02-01,64412014_6_cattle_2020-02-01,64412_0_boar_2020-02-01,64416031_0_cattle_2012-05-01,64416031_10_cattle_2018-03-01,64416031_11_cattle_2019-04-01,64416031_12_cattle_2018-03-01,64416031_13_cattle_2018-07-01,64416031_14_cattle_2019-07-01,64416031_1_cattle_2012-04-01,64416031_2_cattle_2012-05-01,64416031_3_cattle_2012-05-01,64416031_4_cattle_2012-05-01,64416031_5_cattle_2012-05-01,64416031_6_cattle_2012-05-01,64416031_7_cattle_2012-05-01,64416031_8_cattle_2012-05-01,64416031_9_cattle_2014-03-01,64416_10_boar_2019-07-01,64416_12_boar_2019-02-01,64416_14_boar_2020-02-01,64416_2_boar_2012-06-01,64416_3_boar_2013-11-01,64416_9_boar_2018-02-01,64420012_0_cattle_2012-04-01,64420012_11_cattle_2018-02-01,64420012_13_cattle_2018-02-01,64420012_14_cattle_2018-02-01,64420012_1_cattle_2012-03-01,64420012_2_cattle_2012-04-01,64420012_3_cattle_2012-04-01,64420012_4_cattle_2012-04-01,64420012_5_cattle_2014-12-01,64420012_6_cattle_2018-02-01,64420012_7_cattle_2016-12-01,64420012_8_cattle_2017-02-01,64420012_9_cattle_2018-02-01,64420015_0_cattle_2008-05-01,64420015_10_cattle_2012-01-01,64420015_12_cattle_2012-01-01,64420015_16_cattle_2014-12-01,64420015_1_cattle_2008-04-01,64420015_2_cattle_2008-05-01,64420015_3_cattle_2008-05-01,64420015_4_cattle_2008-05-01,64420015_5_cattle_2011-12-01,64420015_6_cattle_2012-01-01,64420015_7_cattle_2012-01-01,64420015_9_cattle_2012-01-01,64420038_1_cattle_2013-03-01,64420038_3_cattle_2013-05-01,64420038_5_cattle_2013-03-01,64420039_10_cattle_2016-01-01,64420039_11_cattle_2016-01-01,64420039_12_cattle_2017-02-01,64420039_13_cattle_2017-10-01,64420039_1_cattle_2012-02-01,64420039_3_cattle_2014-03-01,64420039_5_cattle_2014-03-01,64420039_6_cattle_2014-03-01,64420039_9_cattle_2016-01-01,64420042_0_cattle_2011-07-01,64420042_1_cattle_2011-08-01,64420042_2_cattle_2011-08-01,64420042_3_cattle_2016-03-01,64420044_7_cattle_2017-02-01,64420047_0_cattle_2012-03-01,64420047_13_cattle_2012-03-01,64420047_14_cattle_2012-03-01,64420047_15_cattle_2015-01-01,64420047_16_cattle_2017-01-01,64420047_6_cattle_2012-03-01,64420047_7_cattle_2012-03-01,64420047_8_cattle_2012-03-01,64458020_8_cattle_2014-04-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0.009198160367926414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10617876424715172
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.05618876224755032,0.007198560287942414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10497900419916129,0.102379524095182,0.05598880223955192,0.02119576084783039,0.18776244751050158,0,0,0,0,0,0,0,0,0.048190361927614334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0.006998600279944014,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,0.20755848830234383,0,0.218956208758253,0.12237552489502265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.020395920815836792,0,0,0,0,0,0,0.002199560087982403,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,5.998800239952009e-4,7.998400319936012e-4,0.0037992401519696068,0.02579484103179358,0.0019996000799840027,0.001399720055988802,0.004199160167966408,0,0.3237352529494078,0.0027994401119776045,0.13057388522295732,0.047190561887622336,0.0161967606478704,0,0,0,0,0,0,0,0.04159168166366715,0,0,0,0,0,0,0,0,0.0035992801439712063,0,0,0,0,0,0,0,0,0.0157968406318736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020195960807838392,0,0,0,0,0,0,0.0067986402719456135,0.00519896020795841,0,0,0,0,0,0,0,0,0,0,0,0,0.02199560087982399,0,0.007198560287942414,0.00539892021595681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005998800239952012,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015196960607878401,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18056388722255895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165966806638672,3.999200159968006e-4,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017396520695860798,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0.029394121175764773,0,0,0,0,0,0,0,0,0,0.027594481103779177,0.016996600679864,0,0,0.037392521495700756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0.028394321135772775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0.007798440311937616,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018996200759847995,0,0,0,0,0,0,0,0,0.011397720455908809,0,0.0011997600479904018,0,0,0.15876824635073264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022795440911817587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171965606878624,0,0,0,0,0,0,0.017396520695860798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0.02139572085582879,0.0015996800639872023,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163967206558688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007398520295940815,0,0,0,0.0045990801839632086,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0.006598680263947213,0,0,0.014197160567886403,0,0,0,0,9.998000399920016e-4,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032993401319735965,0.0015996800639872023,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02179564087182559,0,1.999600079984003e-4,0.0011997600479904018,0,0,0,0,0,0.18576284743051752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019396120775844794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018596280743851196,0,0,0,0,0,0,0,0,0.009198160367926414,0.15336932613477566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024395120975804784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037992401519695955,1.999600079984003e-4,0.3679264147170495,0,0,0,0,0.0019996000799840027,0.013197360527894405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11577684463107524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.06638672265546883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24175164967007134,0,0,0,0.2719456108778277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21475704859028646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0,0,0,3.999200159968006e-4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.003399320135972806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01099780043991201,0,0.05938812237552471,0.0031993601279744054,0.31493701259747914,0,0,0,0,0,0,9.998000399920016e-4,9.998000399920016e-4,0.0161967606478704,0.0167966406718656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010397920415916811,0,0,0,0,0,0,0,0.02159568086382719,0.008798240351929614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013197360527894405,0,0,0.0163967206558688,0.0157968406318736,0.013797240551889604,0,0,0,0,0,0,0.15956808638272627,0.001399720055988802,0.01059788042391521,0.006598680263947213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012797440511897606,0,0,0,0,0,0,0,0.002199560087982403,0.18696260747850796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0.004399120175964808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.009598080383923213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07058588282343536,0,0,0,0,0,0,0.3445310937812392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155968806238752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.047590481903619135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11177764447110711,0.008998200359928014,0,0,0.01079784043191361,0.06778644271145767,0,0,0,0,0,0,0.0017996400719856025,0.00539892021595681,0.0165966806638672,0.0165966806638672,0,0,0,0,0.007998400319936016,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023395320935812786,0,0,0,0,0,0,0,0.14577084583083622,0.009598080383923213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0.002199560087982403,0,0.010197960407918412,0,0.0015996800639872023,0,0,0,0,0,0,0,0.2833433313337353,0.1055788842231565,0.023995200959807984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02579484103179358,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
