19_d500_16_1429_0_badger_2019-09-01,19_d500_16_1429_1_badger_2018-04-01,19_d500_16_1432_0_badger_2020-02-01,19_d500_16_1432_1_badger_2020-02-01,19_d500_16_1432_2_badger_2018-04-01,19_d500_49_0_badger_2019-08-01,3_d500_285_0_badger_2018-08-01,3_d500_285_1_badger_2020-02-01,3_d500_285_2_badger_2016-04-01,3_d500_285_4_badger_2019-07-01,40299005_0_cattle_2017-04-01,40299005_10_cattle_2017-04-01,40299005_11_cattle_2017-04-01,40299005_12_cattle_2017-04-01,40299005_13_cattle_2017-04-01,40299005_14_cattle_2017-06-01,40299005_15_cattle_2017-06-01,40299005_16_cattle_2017-06-01,40299005_17_cattle_2017-04-01,40299005_1_cattle_2017-06-01,40299005_2_cattle_2017-04-01,40299005_3_cattle_2017-04-01,40299005_4_cattle_2017-04-01,40299005_5_cattle_2017-06-01,40299005_6_cattle_2017-04-01,40299005_7_cattle_2017-04-01,40299005_8_cattle_2017-04-01,40299005_9_cattle_2017-04-01,40299006_0_cattle_2018-03-01,45_d500_103_0_badger_2013-06-01,45_d500_105_726_0_badger_2011-09-01,45_d500_109_844_0_badger_2015-12-01,45_d500_110_0_badger_2014-06-01,45_d500_123_762_0_badger_2010-12-01,45_d500_123_762_1_badger_2013-06-01,45_d500_123_762_2_badger_2014-06-01,45_d500_124_1_badger_2020-02-01,45_d500_148_0_badger_2013-06-01,45_d500_151_0_badger_2012-11-01,45_d500_155_880_0_badger_2016-08-01,45_d500_156_0_badger_2020-02-01,45_d500_156_1_badger_2010-07-01,45_d500_157_852_0_badger_2020-02-01,45_d500_157_858_0_badger_2008-11-01,45_d500_157_858_1_badger_2016-03-01,45_d500_157_858_2_badger_2018-05-01,45_d500_157_858_3_badger_2017-07-01,45_d500_157_858_4_badger_2017-07-01,45_d500_159_855_0_badger_2016-08-01,45_d500_159_855_1_badger_2016-06-01,45_d500_159_855_2_badger_2020-02-01,45_d500_159_855_3_badger_2011-10-01,45_d500_160_0_badger_2014-08-01,45_d500_160_1_badger_2014-08-01,45_d500_160_2_badger_2016-07-01,45_d500_160_3_badger_2016-06-01,45_d500_163_0_badger_2013-12-01,45_d500_164_0_badger_2016-07-01,45_d500_170_0_badger_2013-03-01,45_d500_180_0_badger_2013-05-01,45_d500_184_0_badger_2011-08-01,45_d500_218_0_badger_2015-07-01,45_d500_36_0_badger_2019-02-01,45_d500_37_579_0_badger_2019-02-01,45_d500_37_586_0_badger_2013-06-01,45_d500_37_586_1_badger_2017-07-01,45_d500_37_586_2_badger_2014-07-01,45_d500_37_600_0_badger_2014-09-01,45_d500_42_560_0_badger_2013-07-01,45_d500_42_560_1_badger_2020-02-01,45_d500_57_687_0_badger_2013-11-01,45_d500_57_687_1_badger_2012-06-01,45_d500_57_715_0_badger_2012-07-01,45_d500_57_715_1_badger_2013-03-01,45_d500_57_715_2_badger_2014-05-01,45_d500_61_0_badger_2013-06-01,45_d500_61_1_badger_2020-02-01,45_d500_61_2_badger_2018-07-01,45_d500_87_0_badger_2017-05-01,45_d500_89_0_badger_2019-06-01,45_d500_89_1_badger_2013-08-01,45_d500_99_716_0_badger_2014-09-01,45_d500_99_720_0_badger_2012-02-01,45_d500_99_720_1_badger_2015-06-01,45_d500_99_766_0_badger_2014-05-01,45_d500_99_766_2_badger_2013-05-01,45_d500_99_766_3_badger_2015-05-01,45_d500_99_839_0_badger_2007-07-01,45_d500_99_839_1_badger_2016-09-01,45_d500_99_839_2_badger_2018-06-01,45_d500_99_839_3_badger_2014-07-01,45_d500_99_866_0_badger_2012-05-01,45_d500_99_866_1_badger_2016-06-01,45_d500_99_866_2_badger_2020-02-01,45_d500_99_869_0_badger_2013-05-01,45_d500_99_869_1_badger_2014-05-01,45_d500_99_869_2_badger_2015-02-01,45_d500_99_869_3_badger_2014-10-01,56_d500_41_0_badger_2018-08-01,56_d500_42_1975_0_badger_2020-02-01,56_d500_42_1979_0_badger_2016-02-01,56_d500_42_1979_1_badger_2015-04-01,56_d500_42_1979_2_badger_2018-07-01,56_d500_42_1979_3_badger_2020-02-01,64244012_0_cattle_2018-08-01,64244012_1_cattle_2018-04-01,64244012_2_cattle_2018-09-01,64326020_0_cattle_2018-03-01,64326020_10_cattle_2018-03-01,64326020_11_cattle_2018-03-01,64326020_12_cattle_2018-03-01,64326020_13_cattle_2018-03-01,64326020_14_cattle_2018-03-01,64326020_15_cattle_2018-03-01,64326020_16_cattle_2018-03-01,64326020_17_cattle_2018-03-01,64326020_18_cattle_2018-03-01,64326020_19_cattle_2018-06-01,64326020_1_cattle_2018-03-01,64326020_20_cattle_2018-03-01,64326020_21_cattle_2018-03-01,64326020_22_cattle_2018-03-01,64326020_23_cattle_2018-06-01,64326020_24_cattle_2018-03-01,64326020_25_cattle_2018-03-01,64326020_26_cattle_2018-06-01,64326020_27_cattle_2018-03-01,64326020_28_cattle_2018-03-01,64326020_29_cattle_2018-03-01,64326020_2_cattle_2018-03-01,64326020_30_cattle_2018-06-01,64326020_31_cattle_2018-06-01,64326020_32_cattle_2018-03-01,64326020_33_cattle_2018-03-01,64326020_34_cattle_2018-06-01,64326020_35_cattle_2018-05-01,64326020_36_cattle_2018-03-01,64326020_37_cattle_2018-06-01,64326020_3_cattle_2018-03-01,64326020_4_cattle_2018-03-01,64326020_5_cattle_2017-12-01,64326020_6_cattle_2018-03-01,64326020_7_cattle_2018-03-01,64326020_8_cattle_2018-03-01,64326020_9_cattle_2018-03-01,64359005_0_cattle_2018-12-01,64359103_0_cattle_2017-03-01,64359108_0_cattle_2013-05-01,64359108_1_cattle_2013-03-01,64359108_2_cattle_2013-03-01,64359108_3_cattle_2017-01-01,64359138_0_cattle_2014-01-01,64359149_0_cattle_2017-02-01,64359158_0_cattle_2020-02-01,64359158_1_cattle_2020-02-01,64359200_0_cattle_2020-02-01,64359_10_boar_2020-02-01,64359_11_boar_2019-02-01,64359_12_boar_2020-02-01,64359_1_boar_2012-07-01,64359_2_boar_2014-02-01,64359_3_boar_2019-01-01,64359_4_boar_2013-06-01,64359_5_boar_2014-04-01,64359_6_boar_2020-02-01,64359_7_boar_2017-05-01,64359_8_boar_2019-12-01,64359_9_boar_2020-02-01,64393387_0_cattle_2017-10-01,64393387_1_cattle_2017-10-01,64393387_2_cattle_2017-05-01,64393387_3_cattle_2017-09-01,64393387_4_cattle_2017-10-01,64393387_5_cattle_2017-10-01,64393387_6_cattle_2017-10-01,64393387_7_cattle_2017-10-01,64393_13_boar_2020-02-01,64393_2_boar_2020-02-01,64393_3_boar_2018-03-01,64393_4_boar_2018-03-01,64393_5_boar_2020-02-01,64393_7_boar_2020-02-01,64393_8_boar_2019-09-01,64420002_0_cattle_2012-03-01,64420002_1_cattle_2013-02-01,64420002_2_cattle_2013-04-01,64420002_3_cattle_2014-09-01,64420009_0_cattle_2012-02-01,64420009_1_cattle_2017-02-01,64420009_2_cattle_2017-02-01,64420009_3_cattle_2017-02-01,64420009_4_cattle_2018-12-01,64420012_0_cattle_2012-04-01,64420012_12_cattle_2012-04-01,64420012_1_cattle_2012-04-01,64420012_2_cattle_2012-04-01,64420012_4_cattle_2012-04-01,64420012_5_cattle_2012-04-01,64420012_6_cattle_2012-04-01,64420012_7_cattle_2012-04-01,64420012_8_cattle_2012-04-01,64420012_9_cattle_2012-06-01,64420015_0_cattle_2009-04-01,64420015_10_cattle_2015-02-01,64420015_11_cattle_2015-02-01,64420015_12_cattle_2015-04-01,64420015_13_cattle_2015-03-01,64420015_14_cattle_2015-04-01,64420015_15_cattle_2015-02-01,64420015_16_cattle_2015-02-01,64420015_17_cattle_2015-04-01,64420015_3_cattle_2009-06-01,64420015_5_cattle_2009-06-01,64420015_6_cattle_2015-04-01,64420015_7_cattle_2015-02-01,64420015_8_cattle_2015-04-01,64420015_9_cattle_2015-04-01,64420035_0_cattle_2011-07-01,64420035_10_cattle_2017-03-01,64420035_1_cattle_2010-04-01,64420035_2_cattle_2010-06-01,64420035_3_cattle_2011-08-01,64420035_4_cattle_2014-12-01,64420035_5_cattle_2016-06-01,64420035_6_cattle_2016-02-01,64420035_7_cattle_2017-03-01,64420035_8_cattle_2016-01-01,64420035_9_cattle_2016-06-01,64420038_0_cattle_2013-01-01,64420038_10_cattle_2015-03-01,64420038_11_cattle_2015-03-01,64420038_12_cattle_2015-03-01,64420038_13_cattle_2015-03-01,64420038_14_cattle_2015-03-01,64420038_1_cattle_2013-01-01,64420038_2_cattle_2013-01-01,64420038_3_cattle_2013-03-01,64420038_4_cattle_2015-03-01,64420038_5_cattle_2015-05-01,64420038_6_cattle_2015-03-01,64420038_7_cattle_2015-05-01,64420038_8_cattle_2015-03-01,64420038_9_cattle_2015-03-01,64420039_0_cattle_2013-02-01,64420039_1_cattle_2016-03-01,64420042_0_cattle_2016-12-01,64420042_1_cattle_2017-02-01,64420047_0_cattle_2013-01-01,64420047_1_cattle_2016-01-01,64449006_0_cattle_2015-04-01,64449007_0_cattle_2015-04-01,64449007_1_cattle_2015-04-01,64449007_2_cattle_2015-04-01,64449007_3_cattle_2015-06-01,64449007_4_cattle_2015-04-01,64449007_5_cattle_2015-04-01,64449007_6_cattle_2015-04-01,64459003_0_cattle_2018-01-01,64508019_0_cattle_2015-03-01,64521001_0_cattle_2018-02-01,64521001_1_cattle_2018-04-01,64521001_2_cattle_2018-03-01,64521001_3_cattle_2018-04-01,64521001_4_cattle_2018-04-01,64521015_0_cattle_2015-06-01,64521015_10_cattle_2015-04-01,64521015_11_cattle_2015-06-01,64521015_12_cattle_2015-04-01,64521015_13_cattle_2015-06-01,64521015_14_cattle_2015-04-01,64521015_15_cattle_2015-06-01,64521015_16_cattle_2015-04-01,64521015_17_cattle_2015-04-01,64521015_18_cattle_2015-04-01,64521015_19_cattle_2015-06-01,64521015_1_cattle_2015-06-01,64521015_2_cattle_2015-04-01,64521015_3_cattle_2015-04-01,64521015_4_cattle_2015-06-01,64521015_5_cattle_2015-06-01,64521015_6_cattle_2014-03-01,64521015_7_cattle_2015-06-01,64521015_8_cattle_2015-04-01,64521015_9_cattle_2015-04-01,64521016_0_cattle_2016-07-01,64521016_1_cattle_2016-03-01,64521016_2_cattle_2016-03-01,64521016_3_cattle_2016-03-01,64521_0_boar_2014-05-01,64521_1_boar_2015-03-01,64521_2_boar_2015-02-01,64521_3_boar_2016-04-01,64521_4_boar_2015-12-01,64521_5_boar_2019-07-01,64521_6_boar_2020-02-01,64521_7_boar_2020-02-01,64556002_0_cattle_2015-04-01,64556002_1_cattle_2015-02-01,64556002_2_cattle_2015-02-01,64556002_3_cattle_2015-02-01,64556005_0_cattle_2014-12-01,64556023_0_cattle_2012-04-01,64556023_1_cattle_2012-05-01,64556034_0_cattle_2020-02-01,64556039_0_cattle_2011-05-01,64556039_1_cattle_2011-08-01,64556039_2_cattle_2011-08-01,64556039_3_cattle_2011-07-01,64556039_4_cattle_2011-08-01,64556039_5_cattle_2011-08-01,64556_0_boar_2012-02-01,64556_1_boar_2013-02-01,64556_2_boar_2014-07-01,64556_3_boar_2013-12-01,64556_4_boar_2018-04-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03509649035096484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020997900209978994,0.004599540045995403,0,0,0.2797720227977136,0.009899010098990092,0,0,0,1.9998000199980003e-4,0,6.999300069993001e-4,0,0.021897810218978006,9.999000099990002e-5,0,0,0,0.015198480151984753,0.022097790220977805,0.005899410058994105,0.0013998600139985998,0.022897710228977,0,0.15608439156084283,0.004799520047995203,0,0,0,0,0,0,0.025797420257974078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016998300169982995,0,0,0.013898610138986063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013498650134986466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017998200179981994,0,0.026297370262973574,4.999500049995e-4,0,0,0,0.006699330066993306,0.014498550144985458,0,0.2352764723527548,0.053494650534946946,3.9996000399960006e-4,0.003999600039996002,0,0.036296370362963674,0,0,0,3.9996000399960006e-4,0.013898610138986063,0,0,1.9998000199980003e-4,0,0,0.0028997100289971005,0.027597240275972264,0,0,0.3763623637636331,0,0,0.005699430056994304,0.0010998900109989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017998200179981994,0,0,0.0017998200179981994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9998000199980003e-4,0.0015998400159983996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05299470052994743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011798820117988178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5184481551845146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35386461353865184,0,0,0,0,0,0,0,0,0,0,0,0,0.01019898010198979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4012598740126123,0,0,0,0,0,0,0,0,0,0,0,0.016298370162983647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009199080091990797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013498650134986466,0,0,0,0,0,0.009599040095990394,0,0,8.999100089991002e-4,9.999000099990002e-5,0,0.4907509249075377,9.999000099990002e-5,0,0.007399260073992607,9.999000099990002e-5,0.013098690130986869,0,0,0,0,0.1276872312768744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1625837416258356,0.0023997600239976,0,0.005399460053994604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9998000199980003e-4,0.011998800119987977,0,0,0,0,0,0,0,0,0,0,0,0,0.045495450454954726,0.0021997800219977996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029297070292970552,0,0,0,0,0,9.999000099990002e-5,0,0.008199180081991804,0.004099590040995902,0,0,0,0,0,0.027097290270972768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99900009999e-4,0,2.9997000299970003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.999400059994001e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8.999100089991002e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007599240075992407,0,0,0,0,2.9997000299970003e-4,0.47185281471855345,0,0,0,0,9.999000099990002e-5,0,0,0,0.007999200079992006,0,9.999000099990002e-5,0.004199580041995802,8.999100089991002e-4,4.999500049995e-4,0,0,0,0,0,0,5.999400059994001e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,5.999400059994001e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012998700129986998,0,0,0,0.012398760123987574,0,0,0,0,0,0,0,0.0013998600139985998,0.0087991200879912,0,0.004599540045995403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9998000199980003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003399660033996601,0,0,0,0,0,0,0.08589141085891543,0,0,0,0,0,0,0,0.006599340065993406,0,0,0,0.13678632136786428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.999400059994001e-4,0,0,7.999200079992001e-4,0,0,0,0,0,0,0,0,0,0,0,0.013998600139985962,0,0,0,0,0,0,0,0,9.999000099990002e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2867713228677078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9997000299970003e-4,0,0,0,0,0,0.036996300369962994,0,0,0,0,0,0.03139686031396844,0,0.0020997900209978994,0.15658434156584228,2.9997000299970003e-4,0,0.02149785021497841,4.999500049995e-4,0,0.032296770322967565,0.12528747125287706,0.016598340165983345,0,0,0,0,0.01419858014198576,0.0024997500249975,0,0,0,0,0,0,0,0,0,0,0,0,0.027297270272972567,0.0050994900509949035,0.0012998700129986998,5.999400059994001e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025897410258973977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06789321067893293,0.008999100089990998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22967703229676104,0,0,0,0,0,0,0,0.021797820217978107,0.0015998400159983996,0.0011998800119988,0,0,0,0,0.05319468053194724,0,0,0,3.9996000399960006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042995700429957024,0,0,0,0.0035996400359964015,0,3.9996000399960006e-4,0,0,0,0,0,0,4.999500049995e-4,0,0,0,0,0,0,0,0.11308869113088897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0034996500349965013,0,0.11748825117488469,0.003999600039996002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.999200079992001e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028997100289971005,4.999500049995e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.999400059994001e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024997500249975,0,0,0,0.5943405659434513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011698830116988279,0.020497950204979416,0.009399060093990596,5.999400059994001e-4,9.999000099990002e-5,0,0.0018998100189980994,0,0,7.999200079992001e-4,0.0013998600139985998,0,0,0.0017998200179981994,0,0,0,0,0,0,0.0035996400359964015,0,0,0,0,0,7.999200079992001e-4,0.0012998700129986998,0.004699530046995303,0,0.0016998300169982995,0,0,0.0025997400259974,0.005599440055994404,0,9.999000099990002e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0012998700129986998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99900009999e-4,0.0026997300269973002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04209579042095803,0,0,0,0,0.0035996400359964015,0.017498250174982438,0,0.0010998900109989,0,0,0,0,0,0,0.16318368163183494,0,7.999200079992001e-4,0.006299370062993705,0.005299470052994704,7.999200079992001e-4,0,8.999100089991002e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014998500149984997,0.013498650134986466,0.006199380061993805,0,0,0,0,0,0,0,0,0,7.999200079992001e-4,0.480751924807546,0,0.007099290070992906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005499450054994504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006699330066993306,0,0,0,0,0,0,0.023197680231976697,0.0014998500149984997,0,0,0,0,0,0,0.0027997200279972004,0,0,0,0.03879612038796124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042995700429957024,0.0020997900209978994,8.999100089991002e-4,0,0,0,0,0,0,0,0,0.0026997300269973002,0.04779522047795249,9.99900009999e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3823617638236281,0,0,0,0,0,0,0,0,0,0,0,0,0.003899610038996102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3898610138986218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01009899010098989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
